CustomerID,CustomerName,Email,Phone,City
1,  dIANe sMiTH  @,  zHoffMAn@exaMple.com  ,,  HousTOn 
2,daviD jAcOBs,adam80@exAmpLe.coM&, +1-677-663-2603x83070, nEw York 
3,frEDeRiCK wiLSon, allentimOthY@Example.cOm  ,,  daLlas
4,stePhaniE aNdErsOn,lauReNleVY@eXAMple.Org , 763.981.1797X2097, New YoRk
5,  saMantHa oNEal  ,  bowenedWin@Example.Com ,,dallas
6, kriStopHEr rodRiguEz  ,  weAVersTEVeN@examPLe.net$, 637-707-9669X4484,  Los angeles  
7,  JORdan hErnaNdEz,  UchAsE@example.net , 396-299-6882x983,  hOuSTON 
8,  rEnee HaNsen,,(873)341-0860x507,los angELes
9,maTheW mCintyrE, lOpezjAmeS@examplE.orG, 001-757-799-0343X71212,new york
10,  mICHaEl GReEN  ,yCarter@exaMple.org,  367-692-8702  ,  chiCago
11,jaCOb clay,, 001-711-285-4016x392#,hOUStOn  
12,anDRea Smith  ,gregoryMCcoRmIck@Example.com  , (294)313-8454x60438,ChIcago 
13, stacY JaCksOn ,  davisvictOR@ExamPle.oRG,,  lOs aNGEleS  
14,  joshUA ridDle,  brittnEy07@exampLe.com,  001-853-546-9232X840,los angeLeS 
15,  auSTin roWE  ,deVIn34@exaMple.nEt,001-318-384-2124x7515 , dAllas  
16,lIsa Allen , xjohnSoN@eXample.COm,001-678-313-1008x2910,
17,  mAdiSoN French, SaraHchaveZ@exaMple.cOM ,,??
18,  jaMeS aLVArez , ParsoNscyntHIA@eXamplE.org  ,,###
19,lAwrEnCe priNce  $,  walshanthOny@exAmPle.coM, 287.906.6829x8055  ,  hoUstoN 
20, kARen miLLEr  ,,,lOS anGElEs  
21,tRAcIe schroEDer ,  rOBErT69@ExaMpLe.net,(801)936-6246x38316 ,??
22, shawN Luna ,  EBRaUN@eXampLe.net,546-680-3455X57826 ,  housTon 
23, michAeL BRennan  ,,, neW YORk &
24, NicholaS browN  , vjOhnson@exAmPLE.Org , 373.375.8616x49596,  HoustOn 
25,  diANa copelANd  ,  CLaYgrEgory@exAMPLe.Net  ,(506)839-5791x79669,  LOS aNgeLes  
26,riCharD campbeLL, uHOoPEr@ExamPle.org , +1-356-335-9836x258%,  HousTon
27, chEryL pEaRsoN,rObErt06@EXaMPle.com , 948-554-7065 ,??
28,  joNAthan gray  , trAVIsBaker@examPlE.neT,,los aNgEles  
29,joHn crAig ,  jamEsHerRERA@eXamplE.com ,+1-624-292-7262x912  ,
30,rIckY wILson,JeNnIfEr69@ExAmPlE.Net,  +1-379-319-9096x5121,hOuston  
31,  benJamin lane  ,  rrOBErts@ExaMple.com  ,417.481.8525  ,  cHiCaGo 
32,amAnda martinez  ,  gRIFFitHarthuR@eXAmPle.CoM,, cHiCAGO
33,jAMes pIttman , StepHANie50@ExamPle.neT ,+1-553-341-6466x543 ,  ChiCago 
34, KaREN bOoKer , qHUanG@exAmpLe.cOm  ,,  hOUston
35,  jiMmy NavarrO  ,trAngEl@exaMplE.com  , 559.497.1020x0450 ,??
36, anita PruItT ,,, Los angELEs
